0,122251,90954
0,121735,94096
0,121336,89608
0,119694,96768
0,118805,34983
0,118345,20267
0,114764,66071
0,114746,67217
0,114538,100929
0,114360,10655
0,113378,26246
0,108061,86181
0,107018,115194
0,105779,68797
0,102740,121986
0,102648,57452
0,102562,27959
0,102097,57088
0,100828,111734
0,95157,97482
0,94847,41611
0,94845,110425
0,94748,7081
0,91281,49391
0,89912,22990
0,89132,76633
0,88480,76768
0,88157,15991
0,87718,37393
0,86075,84657
0,85627,52861
0,84521,69913
0,81139,38856
0,75416,103562
0,74954,81419
0,73257,87498
0,73032,122344
0,72398,117565
0,71609,79838
0,69476,109831
0,65466,27111
0,65369,61567
0,64970,49253
0,64846,115471
0,62861,55413
0,62715,53871
0,61548,65818
0,60793,110574
0,59672,100591
0,59295,105251
0,57479,1470
0,57090,68452
0,54611,80380
0,54175,107782
0,51152,98270
0,50839,61515
0,49936,48608
0,49325,62035
0,48505,69913
0,47088,71821
0,46423,117880
0,43453,66036
0,42728,97
0,41868,96768
0,39947,100495
0,39350,61483
0,38992,95898
0,37543,25792
0,36730,117670
0,30960,41545
0,29321,31795
0,27480,70172
0,26537,118323
0,26285,700
0,24112,70371
0,23819,80894
0,22305,47630
0,21781,82402
0,21073,102887
0,19969,91722
0,18456,97512
0,15531,121473
0,14421,7802
0,10189,22213
0,9475,12062
0,9291,63995
0,7663,88891
0,5434,38745
0,2762,22803
0,2671,41386
0,1601,1421
1,122949,16370
1,119476,19552
1,118818,53511
1,117565,89917
1,113646,108308
1,113522,98100
1,110392,32001
1,109757,15483
1,107690,105529
1,106510,28258
1,103503,45984
1,98517,94926
1,97224,55762
1,87233,93023
1,87129,31136
1,87128,116735
1,86865,119447
1,86862,9875
1,86857,70999
1,86097,19571
1,85254,112839
1,83699,86024
1,78148,8701
1,75846,59071
1,71959,43297
1,64621,37157
1,61639,3477
1,60787,20891
1,59076,32040
1,58804,69903
1,57936,70430
1,55697,111865
1,55445,92279
1,54846,7588
1,54503,58571
1,50936,91881
1,50434,100125
1,47124,30760
1,46075,12281
1,39154,70045
1,38457,98932
1,37364,87939
1,37322,63640
1,36566,72305
1,36029,34857
1,33572,34078
1,29553,102279
1,28010,23686
1,27548,30195
1,26313,41737
1,25251,54116
1,22028,63925
1,21091,50810
1,18650,122967
1,16124,40820
1,12062,114494
1,10318,118274
2,122677,86862
2,122123,77096
2,120894,62907
2,119274,75820
2,118875,109437
2,118826,31413
2,115331,51537
2,115329,20396
2,115328,67512
2,115327,78997
2,108459,112476
2,107712,44304
2,105251,78506
2,105246,35114
2,103570,86998
2,99587,85656
2,98932,111210
2,98900,4330
2,92283,113057
2,89920,112901
2,89919,47874
2,89915,41471
2,89913,83770
2,89606,54337
2,88723,105840
2,87690,69994
2,87685,41699
2,84795,4989
2,80680,96704
2,76085,20763
2,76083,80177
2,74500,44862
2,73285,105025
2,69915,10110
2,67386,40722
2,65819,34203
2,65818,7194
2,62026,62865
2,61483,72838
2,60833,58387
2,60406,28370
2,57868,72838
2,56359,55418
2,55671,92808
2,52424,113540
2,51655,36566
2,50352,9541
2,47863,69782
2,41632,62865
2,41305,118440
2,41302,19754
2,30941,11398
2,28848,113382
2,24196,60537
2,20035,53746
2,20032,76095
2,20030,29545
2,19363,81046
2,12335,14317
2,12333,96442
2,12325,97272
2,8868,37543
2,7923,21226
2,6528,106512
2,4828,40722
2,3557,8406
2,3271,80775
2,3268,54202
2,2270,34203
3,120473,106008
3,118990,98777
3,118111,79325
3,118109,6714
3,118107,111954
3,117657,7099
3,116475,89905
3,109822,32872
3,103887,54426
3,99385,72154
3,98915,3950
3,97986,79505
3,97851,38337
3,96649,83232
3,95023,60772
3,93550,79054
3,92532,18830
3,87600,50469
3,85558,62234
3,82574,86724
3,80523,101189
3,78255,70954
3,75892,31773
3,73129,35103
3,73088,88931
3,71523,122824
3,64621,37157
3,63255,30366
3,62530,46425
3,59890,58131
3,58009,24175
3,53241,6881
3,46337,68918
3,45915,19362
3,45908,22483
3,39527,109001
3,37557,82643
3,35682,110213
3,32768,86332
3,28696,85512
3,24545,76841
3,23695,31883
3,23435,83124
3,22926,4008
3,22207,2859
3,18685,16636
3,18435,10255
3,17739,86769
3,12438,118173
3,11961,93539
3,6563,88699
4,118134,113311
4,116186,51604
4,116182,119752
4,116162,5531
4,114218,15755
4,109757,15483
4,105356,20171
4,101418,65241
4,98563,70881
4,97766,114746
4,94645,73866
4,91722,20948
4,80497,16990
4,79030,26066
4,77447,120321
4,75212,25816
4,71811,89997
4,71789,63100
4,71771,6450
4,70045,39166
4,68423,2896
4,64260,58182
4,62658,4237
4,56326,12366
4,55190,84795
4,54337,6888
4,51606,31134
4,50827,120474
4,50568,107139
4,49136,94840
4,49135,114223
4,47504,30824
4,40896,84203
4,32667,36016
4,32315,34988
4,19993,50218
4,18454,96665
4,12844,70662
4,12839,104133
4,10884,80609
4,10837,58438
4,7221,9476
4,3200,97268
4,1952,104008
5,121026,46307
5,120612,29126
5,115827,55396
5,115623,13508
5,114773,72677
5,113748,105326
5,112036,21024
5,111697,28149
5,110909,22740
5,110042,1350
5,106652,77170
5,101859,94969
5,101556,85621
5,100598,70871
5,96959,78518
5,96958,94409
5,96104,94269
5,94973,11316
5,93944,23127
5,92507,92181
5,91549,52065
5,91049,116111
5,86445,111979
5,80930,72744
5,79141,38773
5,78168,104043
5,76353,66584
5,76305,12046
5,75429,84520
5,75278,58765
5,74265,58927
5,65776,89234
5,61268,77384
5,58568,88337
5,55316,111482
5,55315,13560
5,53175,39037
5,52160,48662
5,50547,2614
5,50037,44811
5,50036,60722
5,49388,74458
5,49384,46740
5,49189,76508
5,47473,12345
5,45036,4181
5,44723,36320
5,42191,112619
5,41702,37104
5,41634,81081
5,39903,73671
5,38457,98932
5,38198,32774
5,38079,118069
5,36372,33001
5,35923,105338
5,34407,31211
5,33890,88002
